Task ID,Task Name,Module,Assigned To,Priority,Status,Start Date,End Date,Estimated Hours,Actual Hours,Progress %,Dependencies,Notes,Week
T234,Create demo account Student,Demo,All,P0,Not Started,28/12/2025,28/12/2025,0.5,0,0%,T231,-,W5
T235,Create demo account Teacher,Demo,All,P0,Not Started,28/12/2025,28/12/2025,0.5,0,0%,T231,-,W5
T236,Create demo account Admin,Demo,All,P0,Not Started,28/12/2025,28/12/2025,0.5,0,0%,T231,-,W5
T237,Create demo account Partner,Demo,All,P0,Not Started,28/12/2025,28/12/2025,0.5,0,0%,T231,-,W5
T238,Create sample referral codes,Demo,All,P0,Not Started,28/12/2025,28/12/2025,1,0,0%,T112,-,W5
T239,Prepare demo script document,Demo,All,P0,Not Started,28/12/2025,28/12/2025,2,0,0%,T230,-,W5
T240,Test demo flow end-to-end (1),Demo,All,P0,Not Started,28/12/2025,28/12/2025,1,0,0%,T239,-,W5
T241,Test demo flow end-to-end (2),Demo,All,P0,Not Started,28/12/2025,28/12/2025,1,0,0%,T240,-,W5
T242,Test demo flow end-to-end (3),Demo,All,P0,Not Started,28/12/2025,28/12/2025,1,0,0%,T241,-,W5
T243,Deploy to demo environment,Demo,All,P0,Not Started,28/12/2025,28/12/2025,2,0,0%,T242,-,W5
T244,Smoke testing on demo server,Demo,All,P0,Not Started,28/12/2025,28/12/2025,2,0,0%,T243,-,W5
T245,Prepare presentation slides,Demo,Nguyên,P0,Not Started,28/12/2025,28/12/2025,3,0,0%,T239,-,W5
T246,Record backup demo video,Demo,All,P1,Not Started,28/12/2025,28/12/2025,2,0,0%,T242,-,W5
T247,DEMO DAY - Final check 8AM,Demo,All,P0,Not Started,29/12/2025,29/12/2025,1,0,0%,T244,-,W5
T248,DEMO DAY - Run through script,Demo,All,P0,Not Started,29/12/2025,29/12/2025,0.5,0,0%,T247,-,W5
T249,DEMO DAY - Verify environment,Demo,All,P0,Not Started,29/12/2025,29/12/2025,0.5,0,0%,T247,-,W5
T250,DEMO DAY - Setup presentation,Demo,All,P0,Not Started,29/12/2025,29/12/2025,0.5,0,0%,T249,-,W5
T251,DEMO DAY - Presentation 10AM,Demo,All,P0,Not Started,29/12/2025,29/12/2025,3,0,0%,T250,-,W5
T252,DEMO DAY - Feedback collection,Demo,All,P0,Not Started,29/12/2025,29/12/2025,1,0,0%,T251,-,W5
T253,DEMO DAY - Retrospective 2PM,Demo,All,P0,Not Started,29/12/2025,29/12/2025,1,0,0%,T252,-,W5
T254,DEMO DAY - Phase 2 planning,Demo,All,P0,Not Started,29/12/2025,29/12/2025,1,0,0%,T253,-,W5
T255,DEMO DAY - Team celebration,Demo,All,P0,Not Started,29/12/2025,29/12/2025,1,0,0%,T254,-,W5

